algo,candidate,frontend,seed_count,success_rate,success_rate_std,clean_success_rate,clean_success_rate_std,mean_reward,mean_reward_std,mean_episode_cost,mean_episode_cost_std,mean_cost_rate,mean_cost_rate_std,crash_rate,crash_rate_std,out_of_road_rate,out_of_road_rate_std,out_of_time_rate,out_of_time_rate_std,intervention_ratio,intervention_ratio_std,mean_action_distortion,mean_action_distortion_std
qpsl,nocicim_soft_crash_guard,nocicim_risk_field,5,0.89,0.10246950765959598,0.09000000000000001,0.022360679774997897,330.3852331871674,18.21195072334774,13.770000000000001,2.2761260949253233,0.04539166074048982,0.008421615896617723,0.86,0.0547722557505166,0.12000000000000001,0.09082951062292476,0.0,0.0,0.0023826775360311927,0.0007696895279079516,0.0006515013111897019,0.00020932342089187325
qpsl,nocicim_soft_front_trim,nocicim_risk_field,5,0.86,0.13874436925511607,0.060000000000000005,0.022360679774997897,325.01496246467843,17.632238742847242,12.43,2.3536142419691464,0.03731403239651386,0.00610758879228414,0.88,0.07582875444051547,0.12,0.13038404810405296,0.0,0.0,0.02657717040655533,0.015145167578091293,0.04436309660310345,0.027749651647985752
qpsl,none,none,5,0.87,0.12041594578792295,0.08,0.027386127875258306,329.119546706177,17.86036462386232,13.38,1.8373214198936454,0.04405952968576572,0.0061768943186944125,0.86,0.0547722557505166,0.14,0.108397416943394,0.0,0.0,0.0,0.0,0.0,0.0
rec,nocicim_close_range,nocicim_risk_field,5,0.75,0.11180339887498951,0.08,0.09746794344808964,301.4883041726875,21.197420754531045,9.7,1.4057915919509547,0.02796721836096084,0.0042154685004259064,0.81,0.12449899597988734,0.24000000000000002,0.10839741694339401,0.0,0.0,0.15315904519035123,0.04041476430435311,0.12867605253628384,0.021930656990176895
rec,nocicim_conservative_clean,nocicim_risk_field,5,0.73,0.09746794344808966,0.09,0.04183300132670378,297.5933095703893,17.84001727635833,14.01,4.018457415476739,0.046749062646601953,0.011272965016505628,0.8,0.10606601717798214,0.28,0.09082951062292476,0.0,0.0,0.002184819388036123,0.002004845193410634,0.00021371589803201774,0.00019719005560578
rec,nocicim_cost_guard,nocicim_risk_field,5,0.62,0.1604680653588121,0.08,0.0670820393249937,289.0869244685963,24.036583091904365,6.67,1.867016336297034,0.01786532157586052,0.005152758656565216,0.81,0.05477225575051661,0.26,0.12942179105544785,0.0,0.0,0.21559729021680324,0.036642864768775624,0.2745238139352056,0.04048739952852121
rec,nocicim_crash_aware_route,nocicim_risk_field,5,0.72,0.08366600265340754,0.09,0.04183300132670378,296.74948096840353,17.896430827075385,13.33,3.2879704986511062,0.04404636169934671,0.00806056079684729,0.8,0.10606601717798214,0.27999999999999997,0.08366600265340754,0.0,0.0,0.005977000416428396,0.004058091252789265,0.001181557723543676,0.000810122439027799
rec,nocicim_memory_confirmed_stop,nocicim_risk_field,5,0.7100000000000001,0.13874436925511607,0.09,0.04183300132670378,295.40974744913194,26.9636735942089,13.639999999999999,4.335233557722121,0.045361444056395805,0.011287015122113013,0.81,0.108397416943394,0.29,0.13874436925511607,0.0,0.0,0.0076100879156936925,0.003741405343937776,0.0011262794002924329,0.0005544431974262371
rec,nocicim_micro_guard,nocicim_risk_field,5,0.78,0.02738612787525833,0.09,0.05477225575051661,306.15204571223387,6.069829404109261,12.72,2.9252350332921973,0.038972756324426164,0.007817427647762094,0.8,0.11180339887498945,0.2,0.05,0.0,0.0,0.06853527505093784,0.03408465019919559,0.035352709699844186,0.006811383774891193
rec,nocicim_risk_gated_micro_guard,nocicim_risk_field,5,0.7100000000000001,0.13874436925511607,0.09,0.04183300132670378,295.5100402410919,26.981952373499457,13.68,4.370726484235773,0.04549981117560726,0.011464434188654492,0.81,0.108397416943394,0.29,0.13874436925511607,0.0,0.0,0.007643687816505793,0.003808851949015518,0.0011962438859793776,0.0006984705370420822
