algo,total_steps,seed_count,EpRet_mean,EpRet_std,EpCost_mean,EpCost_std,CostRate_mean,CostRate_std
td3,220000,5,0.62,0.23345235059857503,23.38,8.109068997116745,0.058020263728471494,0.01332976457246599
td3,230000,5,0.8099999999999999,0.13874436925511605,22.78,10.151637798897278,0.0583985147761512,0.01307312855825615
td3,240000,5,0.76,0.10839741694339401,24.81,6.057887420545218,0.05876357818157575,0.012799522789208343
td3,250000,5,0.8300000000000001,0.09746794344808962,21.97,5.3512381744788735,0.05889303557214229,0.012733129240608843
td3,260000,5,0.76,0.08215838362577492,18.07,3.9921172327475554,0.05939945922868934,0.012424281597037344
td3,270000,5,0.7000000000000001,0.1620185174601965,18.66,4.558152037832876,0.059857999474072124,0.01207625608054139
td3,280000,5,0.85,0.03535533905932737,21.9,1.068877916321598,0.06022307222525795,0.012249901776731536
td3,290000,5,0.87,0.1254990039801113,26.990000000000002,5.405252075528024,0.06066572643353942,0.012194725937664814
td3,300000,5,0.7999999999999999,0.14142135623730948,23.36,5.026231192454244,0.06103353677845593,0.012156540383557906
td3,310000,5,0.81,0.0894427190999916,22.61,7.042584752773657,0.061282778331543004,0.012364521004477344
td3,320000,5,0.7,0.15811388300841894,21.68,8.897864912438264,0.06130331657286429,0.012359383992824541
td3,330000,5,0.84,0.11401754250991378,23.11,5.080034448702095,0.061498368176873264,0.01238917208612948
td3,340000,5,0.77,0.1396424004376894,20.060000000000002,6.221675819262846,0.06163371068738437,0.012254435647847737
td3,350000,5,0.75,0.09354143466934854,21.25,3.1551545128567007,0.061657890451115575,0.012180961579592274
td3,360000,5,0.84,0.09617692030835673,19.51,7.0570354965807,0.061680171333809264,0.012123094866824047
td3,370000,5,0.82,0.11510864433221339,21.47,4.655588040194278,0.061676382909143,0.012068127002929445
td3,380000,5,0.78,0.16431676725154987,22.5,3.3185087012090237,0.0617101623951642,0.012060016479598038
td3,390000,5,0.79,0.08215838362577493,21.67,5.482540469526878,0.06174169677358147,0.012035793017065243
td3,400000,5,0.73,0.13038404810405294,18.45,3.6402266412958415,0.06174115435288588,0.01186066867851169
td3,410000,5,0.84,0.0651920240520265,18.65,4.0401113846031524,0.062000151219881026,0.011828862134310445
