variant,alpha,beta,gamma,theta,k,lambda_brake,lambda_throttle,steering_limit_gain,min_steering_scale,trigger_threshold,eval_episodes,seed_count,source_count,complete,SuccessRate_mean,SuccessRate_ci95,EpCost_mean,EpCost_ci95,CostRate_mean,CostRate_ci95,mean_pain_mean,mean_pain_ci95,trigger_rate_mean,trigger_rate_ci95,mean_longitudinal_delta_mean,mean_longitudinal_delta_ci95,steering_limit_rate_mean,steering_limit_rate_ci95
longitudinal,0.92,0.35,0.08,0.5,12,0.4,0.35,0.5,0.35,0.5,20,5,5,true,0.8200000000000001,0.07333648478076928,10.75,2.0179435076334515,0.030809539302857614,0.0044523806852499225,0.5045382710909089,0.052065817162084416,0.5048503369969652,0.05373727278050238,0.3368175055551386,0.03525167450912212,0.0,0.0
longitudinal,0.92,0.45,0.06,0.4,12,0.2,0.35,0.5,0.35,0.5,20,5,5,true,0.85,0.06929646455628163,11.2,2.722389905946611,0.03362270461616087,0.0034152257983800375,0.5804857227471037,0.05669616213413346,0.5794491464636998,0.05754007626639482,0.27478445784157346,0.02590063028964768,0.0,0.0
longitudinal,0.92,0.45,0.06,0.4,12,0.3,0.35,0.5,0.35,0.5,20,5,5,true,0.86,0.07201499843782543,9.69,1.802347624627391,0.028537025426279918,0.005209277724875099,0.6020237918324955,0.029827897251356754,0.6014789350085428,0.030564906101394205,0.345575737818469,0.026655341412980146,0.0,0.0
longitudinal,0.92,0.45,0.06,0.4,12,0.4,0.35,0.5,0.35,0.5,20,5,5,true,0.91,0.06500584589096581,8.59,1.8592643061168035,0.02420593189442051,0.0033585497160910868,0.6028437815923615,0.044986832054160986,0.6026680875544959,0.04605242208029398,0.4164636785624856,0.03372094980440102,0.0,0.0
longitudinal,0.92,0.45,0.06,0.45,12,0.2,0.35,0.5,0.35,0.5,20,5,5,true,0.83,0.04997039123320929,10.73,0.7757490831448017,0.03499081409424146,0.003530996892859267,0.5267774917336118,0.056252070879140165,0.526061428710614,0.05669303727698419,0.25393277428242705,0.027218572781845193,0.0,0.0
longitudinal,0.92,0.45,0.06,0.45,12,0.3,0.35,0.5,0.35,0.5,20,5,5,true,0.92,0.07961557636543239,10.96,3.026820073938984,0.032831824491239274,0.008315425599541218,0.6053140809275337,0.02146082960420124,0.6049353924378191,0.02170363474170522,0.3547847344726224,0.015141821568649103,0.0,0.0
longitudinal,0.92,0.45,0.06,0.45,12,0.4,0.35,0.5,0.35,0.5,20,5,5,true,0.87,0.09088146125585787,10.68,1.739493098577859,0.02918463396935536,0.0030950896427762147,0.6177227961800026,0.027714466430101344,0.6167627245167313,0.0278123701740689,0.42502371259945565,0.020746640951162798,0.0,0.0
longitudinal,0.92,0.45,0.06,0.5,12,0.2,0.35,0.5,0.35,0.5,20,5,5,true,0.89,0.05714332856948391,11.61,1.4583242986386808,0.035832320611715894,0.004775695448389158,0.5741589018324743,0.032629971013199706,0.576903947834787,0.03367722711539019,0.2741954390257902,0.010591763554333162,0.0,0.0
longitudinal,0.92,0.45,0.06,0.5,12,0.3,0.35,0.5,0.35,0.5,20,5,5,true,0.88,0.07333648478076923,9.12,1.1287456046426048,0.028356505594666195,0.002754890550913494,0.5489855008988892,0.02326470330256358,0.5510198054816656,0.023768302983368038,0.323996784195004,0.01717078009317893,0.0,0.0
longitudinal,0.92,0.45,0.06,0.5,12,0.4,0.35,0.5,0.35,0.5,20,5,5,true,0.87,0.07961557636543239,10.25,3.020085892818282,0.028401414084059464,0.00714984486386333,0.5782718017361015,0.03818947247374797,0.5812079437435513,0.038307350469254944,0.3987985938734257,0.027290062101375794,0.0,0.0
longitudinal,0.92,0.45,0.08,0.4,12,0.2,0.35,0.5,0.35,0.5,20,5,5,true,0.83,0.0908814612558579,10.040000000000001,2.6874880762526177,0.03425161608078386,0.0039813204911532795,0.511791500800925,0.07634340321374188,0.5085887804138974,0.07769392420792277,0.24274360444852888,0.03779079434684049,0.0,0.0
longitudinal,0.92,0.45,0.08,0.4,12,0.3,0.35,0.5,0.35,0.5,20,5,5,true,0.9199999999999999,0.039199999999999985,9.21,1.7211210765079834,0.029576294604407426,0.005998484641877205,0.5763597563951457,0.01820300567763849,0.5750527863650938,0.018219294696232513,0.3379805019797428,0.01357703905219492,0.0,0.0
longitudinal,0.92,0.45,0.08,0.4,12,0.4,0.35,0.5,0.35,0.5,20,5,5,true,0.9,0.06929646455628163,8.1,1.8573520937075982,0.024362804814839868,0.004456838124850858,0.5551934311642227,0.04677796086038674,0.5535555177833169,0.048317233957495646,0.38319556676327404,0.03578576903542262,0.0,0.0
longitudinal,0.92,0.45,0.08,0.45,12,0.2,0.35,0.5,0.35,0.5,20,5,5,true,0.93,0.039199999999999985,10.84,0.6193413921255382,0.03593413422190276,0.0018421744350304958,0.5410252803921227,0.044096718367087936,0.538900688090213,0.044824589856149996,0.2603827381221717,0.024100221204964432,0.0,0.0
